utente/$/$/hotel,brec,drec,urec
Armando/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.0,1.0,0.0
Armando/$/$/Howard Johnson Inn - Newburgh,0.04,0.95,0.01
Armando/$/$/Fiesta Inn and Suites,0.1,0.89,0.01
Armando/$/$/Drury Inn and Suites Columbus Convention Center,0.0,1.0,0.0
serge/$/$/Hotel Russo Palace,0.0,1.0,0.0
Mari_ana/$/$/Hotel Russo Palace,0.0,1.0,0.0
Olivier/$/$/Hotel Russo Palace,0.04,0.9,0.06
"Olivier/$/$/The Alexandrian, Autograph Collection",0.85,0.14,0.01
Olivier/$/$/Fh Hotel Villa Fiesole,0.06,0.9,0.04
Olivier/$/$/Hotel Casena Dei Colli,0.06,0.89,0.05
Richard/$/$/Hotel Russo Palace,0.03,0.95,0.02
Richard/$/$/Fairfield Inn By Marriott Binghamton,0.15,0.84,0.01
Richard/$/$/Days Inn Branson / Near The Strip,0.17,0.82,0.01
Richard/$/$/Comfort Suites Southport,0.55,0.44,0.01
Richard/$/$/Ambassadors Inn and Suites,0.21,0.79,0.0
Richard/$/$/Days Inn Brookings,0.2,0.79,0.01
Richard/$/$/Best Western Plus Arlington North Hotel and Suites,0.1,0.89,0.01
Richard/$/$/Super 8 Pittsburgh/monroeville,0.17,0.82,0.01
"Richard/$/$/The Alexandrian, Autograph Collection",0.65,0.35,0.0
Richard/$/$/Baymont Inn and Suites Enid,0.15,0.84,0.01
Richard/$/$/Quality Inn and Suites,0.57,0.43,0.0
Richard/$/$/Wine Valley Lodge,0.15,0.84,0.01
Richard/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.13,0.86,0.01
Richard/$/$/Days Inn Bangor Airport,0.14,0.85,0.01
Richard/$/$/Fh Hotel Villa Fiesole,0.59,0.4,0.01
Richard/$/$/Pelican Shores Inn,0.0,1.0,0.0
Richard/$/$/The Kinney - Venice Beach,0.11,0.88,0.01
