utente/$/$/hotel,somma
Richard/$/$/Super 8 Belle Fourche,0.46
Richard/$/$/Garden of The Gods Club & Resort,0.52
Richard/$/$/Inter-hotel Orl��ans Nord,1.04
Richard/$/$/Hampton Inn and Suites Annapolis,1.11
Richard/$/$/H��tel Sezz Paris,0.52
Richard/$/$/Super 8 Kansas City Airport,0.69
Richard/$/$/Campus Inn & Suites Eugene Downtown,0.5
Richard/$/$/Travelodge Ruther Glen,0.43
Richard/$/$/Hampton Inn Virginia Beach Oceanfront North,1.35
Richard/$/$/Fiesta Inn and Suites,0.39
Richard/$/$/Arizona Inn of Prescott Valley,0.52
Richard/$/$/Microtel Inn and Suites By Wyndham Burlington,0.48
Richard/$/$/Quality Inn and Suites Irvine Spectrum,0.47
Richard/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.42
Richard/$/$/Candlewood Suites Eugene Springfield,0.79
Richard/$/$/Quinta Real Acapulco,0.47
Richard/$/$/Sportsmen's Lodge,0.46
Richard/$/$/Drury Inn and Suites Columbus Convention Center,0.5
Richard/$/$/Red Roof Inn Cedar Rapids,0.43
Richard/$/$/Ibis Wuerzburg City,0.48
Richard/$/$/Castle Kona Reef,0.93
Richard/$/$/Best Western Saint-etienne Aeroport,0.49
Richard/$/$/Inturotel Esmeralda Park,0.55
Richard/$/$/Knights Inn Carmel Hill,0.82
Richard/$/$/Quality Inn Gulfport,0.48
Richard/$/$/Residence Inn By Marriott Deptford,0.54
christopher/$/$/Hotel Russo Palace,0.43
christopher/$/$/Ramada,1.05
christopher/$/$/Best Western Hotel De Neuville,0.44
christopher/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.45
christopher/$/$/Holiday Inn Fond Du Lac,0.42
christopher/$/$/Quality Inn Gulfport,0.34
christopher/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.47
Ulla Kosack/$/$/Hotel Russo Palace,0.47
Matthew/$/$/Hotel Russo Palace,0.43
Matthew/$/$/Solstice,0.4
Matthew/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.48
Matthew/$/$/Candlewood Suites Huntersville,0.44
Matthew/$/$/Plaza Hotel and Casino - Las Vegas,0.41
Matthew/$/$/Hampton Inn Bloomington West,0.51
Matthew/$/$/Microtel Inn By Wyndham Knoxville,0.94
Matthew/$/$/Super 8 Bradenton Sarasota Area,0.33
Matthew/$/$/Towneplace Suites Albany University Area,0.44
Matthew/$/$/Mccamly Plaza Hotel,0.41
Matthew/$/$/Brightwood Inn Country Inn,0.5
Matthew/$/$/Quality Inn and Suites Irvine Spectrum,0.96
Matthew/$/$/Dockers Inn,0.48
Matthew/$/$/The Westin Buckhead,0.45
Matthew/$/$/Americas Best Value Inn - Medical Center/airport,0.42
Matthew/$/$/Drury Inn and Suites Columbus Convention Center,0.5
Matthew/$/$/Best Western Hartford Hotel & Suites,0.46
Matthew/$/$/Americas Best Value Inn,0.39
Jabs/$/$/Hotel Russo Palace,0.43
Andrew/$/$/Hotel Russo Palace,0.44
Andrew/$/$/Tryp Dusseldorf Krefeld Hotel,0.43
Andrew/$/$/Best Western Plus Arlington North Hotel and Suites,0.48
Andrew/$/$/La Quinta Inn and Suites Sunrise,0.41
Andrew/$/$/Americas Best Value Inn,0.92
Andrew/$/$/Super 8 Kingston,0.51
Andrew/$/$/Extended Stay America - Rockford - I-90,0.45
Andrew/$/$/Comfort Inn - Springfield,0.49
Andrew/$/$/Arion,0.48
Andrew/$/$/Fireside Inn Santa Cruz,0.44
Andrew/$/$/Grand Hotel Cadenabbia,0.42
Andrew/$/$/Anglers Inn,0.5
Andrew/$/$/Bayside Resort Hotel,0.52
Andrew/$/$/Super 8 Fort Collins,0.39
Andrew/$/$/Super 8 Kansas City Airport,0.46
Andrew/$/$/Best Western Hartford Hotel & Suites,0.47
Andrew/$/$/Casa Del Mar Inn Bandb,0.45
Andrew/$/$/Holiday Inn Express & Suites Crossville,1.01
Andrew/$/$/Holiday Inn Victorville,0.48
Kim/$/$/Hotel Russo Palace,0.44
Kim/$/$/Best Western Plus Waterville Grand Hotel,0.46
Kim/$/$/Big Mountain Lodge,0.49
Kim/$/$/Doubletree By Hilton West Palm Beach Airport,0.45
Kim/$/$/Inn At Queen Anne,0.45
"Kim/$/$/The Alexandrian, Autograph Collection",0.56
